,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Location
10314,3201,Property Lost,PROPERTY - LOST,A7,942,Monday,19,Part Three,VALLAR RD,"(42.39269663, -71.00842413)"
14259,3201,Property Lost,PROPERTY - LOST,E18,543,Sunday,8,Part Three,CHILD ST,"(42.25549019, -71.12985322)"
16109,2629,Harassment,HARASSMENT,A1,125,Sunday,12,Part Two,CHURCH ST,"(42.34934239, -71.06830960)"
20327,3201,Property Lost,PROPERTY - LOST,C11,335,Sunday,0,Part Three,BOWDOIN ST,"(42.30648026, -71.06675783)"
20406,3201,Property Lost,PROPERTY - LOST,B3,457,Monday,0,Part Three,ESMOND ST,"(42.29861988, -71.08511004)"
27136,2629,Harassment,HARASSMENT,A1,123,Sunday,0,Part Two,KNEELAND ST,"(42.35082577, -71.06262352)"
37984,2647,Other,THREATS TO DO BODILY HARM,E18,525,Sunday,0,Part Two,RILEY RD,"(42.23686470, -71.12859139)"
44575,2629,Harassment,HARASSMENT,C6,914,Sunday,8,Part Two,GENERAL LAWRENCE J LOGAN ,"(42.32779674, -71.05435602)"
44576,2647,Other,THREATS TO DO BODILY HARM,C6,914,Sunday,8,Part Two,GENERAL LAWRENCE J LOGAN ,"(42.32779674, -71.05435602)"
53911,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,115,Sunday,9,Part Two,SOUTH ST,"(42.35015241, -71.05753303)"
62176,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B3,476,Sunday,0,Part Two,REGIS RD,"(42.27064206, -71.09587908)"
66653,3201,Property Lost,PROPERTY - LOST,A1,117,Saturday,21,Part Three,STUART ST,"(42.35103105, -71.06373331)"
70285,619,Larceny,LARCENY ALL OTHERS,B2,585,Thursday,22,Part One,IROQUOIS ST,"(42.33014678, -71.10444485)"
72639,3201,Property Lost,PROPERTY - LOST,E5,680,Tuesday,9,Part Three,WASHINGTON ST,"(42.28471678, -71.12998991)"
72929,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,152,Tuesday,8,Part Two,TREMONT ST,"(42.34346560, -71.07256747)"
77963,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,553,Friday,0,Part One,POPLAR ST,"(42.27501241, -71.12734167)"
89384,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,627,Monday,12,Part Two,BOYLSTON ST,"(42.34412628, -71.09942777)"
92205,3112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,E13,578,Sunday,0,Part Three,PAUL GORE ST,"(42.32030543, -71.10966668)"
92206,2629,Harassment,HARASSMENT,E13,578,Sunday,0,Part Two,PAUL GORE ST,"(42.32030543, -71.10966668)"
92939,2629,Harassment,HARASSMENT,E5,694,Sunday,0,Part Two,WELD ST,"(42.29167443, -71.16014466)"
101036,619,Larceny,LARCENY ALL OTHERS,A1,66,Monday,0,Part One,STRONG PL,"(42.36087512, -71.06825095)"
101037,617,Larceny,LARCENY THEFT FROM BUILDING,A1,66,Monday,0,Part One,STRONG PL,"(42.36087512, -71.06825095)"
101209,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,905,Sunday,15,Part Two,WASHINGTON ST,"(42.33982506, -71.07215896)"
101210,2629,Harassment,HARASSMENT,D4,905,Sunday,15,Part Two,WASHINGTON ST,"(42.33982506, -71.07215896)"
102824,2631,Other,PROPERTY - CONCEALING LEASED,E13,608,Friday,11,Other,S HUNTINGTON AVE,"(42.33136931, -71.11185116)"
106837,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,498,Friday,0,Part Two,HYDE PARK AVE,"(42.27380942, -71.11996035)"
108591,619,Larceny,LARCENY ALL OTHERS,A7,12,Saturday,12,Part One,WILLIAM F MCCLELLAN HWY,"(42.38831841, -71.01600449)"
108975,617,Larceny,LARCENY THEFT FROM BUILDING,C6,205,Friday,17,Part One,WORMWOOD ST,"(42.34723166, -71.04992718)"
110773,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B2,586,Sunday,23,Part Two,TERRACE ST,"(42.32746198, -71.09852527)"
113050,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,167,Friday,12,Part Two,HARRISON AVE,"(42.33954199, -71.06940877)"
117729,1402,Vandalism,VANDALISM,D14,774,Sunday,16,Part Two,COMMONWEALTH AVE,"(42.33836272, -71.15441001)"
121341,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E13,916,Sunday,0,Part Two,BICKFORD ST,"(42.32483301, -71.10164757)"
124716,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,494,Wednesday,23,Part Two,ARLINGTON ST,"(42.25942180, -71.11574862)"
125042,3201,Property Lost,PROPERTY - LOST,E18,487,Sunday,0,Part Three,ROSEMONT ST,"(42.26500784, -71.10472372)"
125154,2629,Harassment,HARASSMENT,D14,800,Sunday,23,Part Two,ASHFORD ST,"(42.35431862, -71.12901674)"
125849,617,Larceny,LARCENY THEFT FROM BUILDING,D14,789,Sunday,12,Part One,COMMONWEALTH AVE,"(42.33819349, -71.15278774)"
